"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,NA,NA,"0.09","0.18","0.4","0.29","0.8","2.41"
"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,NA,"30.77","24.13","2.56","27.87","30.29","20.29"
"Bacteria","Spirochaetes",NA,NA,NA,NA,NA,NA,"0.03","0","0","0.02","0.14","0.15"
"Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA,"30.21","31.49","5.46","28.37","45.47","49.29"
"Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA,NA,"4.3","3.31","0.04","1.39","3.32","2.87"
"Bacteria","Deferribacteres",NA,NA,NA,NA,NA,NA,"1.28","0.24","0.01","0.12","1.9","0.73"
"Bacteria","Fusobacteria",NA,NA,NA,NA,NA,NA,"5.81","4.63","1.28","11.26","4.9","7.3"
"Bacteria","Tenericutes",NA,NA,NA,NA,NA,NA,"2.56","4.75","22.63","3.73","2.67","3.02"
"Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA,"24.94","31.28","67.62","26.94","10.52","13.94"
