"","div_index","habitat","num_sign","comparisons","avg_stat","sd_stat","avg_pval","sd_pval"
"1","taxo_q0","Fish",100,"Levantine_Sea - North_Red_Sea",3.62518639166726,0.160934278026363,0.000169733473575293,9.52476424930994e-05
"2","taxo_q0","Fish",100,"North_Red_Sea - Northern_Crete",-5.03706459977768,0.44221873807802,2.00186852728406e-06,9.49707567730891e-06
"3","taxo_q0","Fish",27,"Levantine_Sea - Northern_Crete",-1.41187820811042,0.485127196363025,0.0993010621778648,0.0735016529280847
"4","taxo_q0","Turf",100,"North_Red_Sea - Northern_Crete",-2.94648174580508,0.340737803268048,0.00282943588271776,0.00453163029018307
"5","taxo_q0","Turf",64,"Levantine_Sea - Northern_Crete",-1.76280610962095,0.346880480417231,0.047801792100187,0.0348788857901998
"6","taxo_q0","Turf",11,"Levantine_Sea - North_Red_Sea",1.18367563618413,0.418846504243028,0.137363337675593,0.089440510807682
"7","taxo_q0","Water",100,"Levantine_Sea - Northern_Crete",-2.81570878406977,0.176457126239444,0.00278686999888695,0.00167361171246434
"8","taxo_q0","Water",87,"North_Red_Sea - Northern_Crete",-2.18347846092482,0.463216079773351,0.0240478534748455,0.0274192914015269
"9","taxo_q0","Water",0,"Levantine_Sea - North_Red_Sea",-0.632230323144948,0.40843556854256,0.271957337793871,0.116863698368002
"10","taxo_q1","Fish",100,"Levantine_Sea - North_Red_Sea",4.08215675823385,0.174505929936871,2.8201149380849e-05,1.8927278107155e-05
"11","taxo_q1","Fish",100,"North_Red_Sea - Northern_Crete",-4.71540897395339,0.459929527523388,8.37176892944802e-06,2.48386141558836e-05
"12","taxo_q1","Fish",1,"Levantine_Sea - Northern_Crete",-0.633252215719546,0.519412393981644,0.267816526299586,0.132445763235085
"13","taxo_q1","Turf",99,"North_Red_Sea - Northern_Crete",-2.83833413171791,0.438051779417417,0.00523024079791085,0.00920855468646428
"14","taxo_q1","Turf",91,"Levantine_Sea - Northern_Crete",-2.09319707065727,0.304852266846699,0.022619506384564,0.0166383927772519
"15","taxo_q1","Turf",1,"Levantine_Sea - North_Red_Sea",0.745137061060636,0.352336236341182,0.239712970956469,0.101908437183655
"16","taxo_q1","Water",100,"Levantine_Sea - Northern_Crete",-3.5315603380167,0.144543580260767,0.000238380952028901,0.000145777157866857
"17","taxo_q1","Water",63,"North_Red_Sea - Northern_Crete",-1.78768006086101,0.324790403476705,0.0447667709107936,0.0323076564140491
"18","taxo_q1","Water",61,"Levantine_Sea - North_Red_Sea",-1.7438802771557,0.259997114630227,0.0456606707025332,0.0242616425816008
