"","div_index","avg_stat","sd_stat","avg_pval","sd_pval","num_sign"
"1","taxo_q0",61.0464098460817,5.81685552510839,2.9264332395711e-10,1.18271245659416e-09,100
"2","taxo_q1",55.7643803635128,5.5158789829482,2.96422367368744e-09,1.69394046389234e-08,100
