"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea","Northern_Crete"
"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,NA,NA,"0.09","1.15"
"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,NA,"18.99","7.04"
"Bacteria","Spirochaetes",NA,NA,NA,NA,NA,NA,"0","0"
"Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA,"29.97","66.41"
"Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA,NA,"0.42","0.87"
"Bacteria","Deferribacteres",NA,NA,NA,NA,NA,NA,"0","0.53"
"Bacteria","Fusobacteria",NA,NA,NA,NA,NA,NA,"5.29","6.38"
"Bacteria","Tenericutes",NA,NA,NA,NA,NA,NA,"8.88","5.99"
"Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA,"36.37","11.63"
