"Comparison","Factor","num_signif","avg_F","sd_F","avg_p","sd_p","avg_R2","sd_R2"
"Northern_Crete_vs_North_Red_Sea","region",12,19.4128333634629,13.0978367424875,0.00125,0.000866025403784439,0.353057402572309,0.179218246626151
"Northern_Crete_vs_North_Red_Sea","season",1,1.14205692660645,1.60541768892826,0.3665,0.358842203862265,0.0298998159102932,0.0360354396720311
