"","sample_type_3","region","avg","sd","min","max","index"
"1","Siganus_luridus","North_Red_Sea",22.2127883435848,5.85088160671355,16.9068738995123,34.3000186437333,"phylo_q0"
"2","Siganus_luridus","Northern_Crete",24.1496974054239,4.97287266355106,18.9423816308536,41.4255412828774,"phylo_q0"
"3","Siganus_luridus","North_Red_Sea",7.06191829059743,1.33650513591514,4.53078232543524,8.58189879362769,"phylo_q1"
"4","Siganus_luridus","Northern_Crete",5.18834973822292,1.99458068095535,2.17403099970047,10.0492787264696,"phylo_q1"
"5","Siganus_luridus","North_Red_Sea",115.6,47.4486857328818,75,204,"taxo_q0"
"6","Siganus_luridus","Northern_Crete",134.681818181818,32.0585570831109,103,251,"taxo_q0"
"7","Siganus_luridus","North_Red_Sea",62.3411276241043,26.6338929274253,38.9489036333566,117.781363037906,"taxo_q1"
"8","Siganus_luridus","Northern_Crete",67.3148034154386,27.8990478451799,20.5130965142799,149.994011648432,"taxo_q1"
"9","Siganus_rivulatus","North_Red_Sea",31.3692931017536,9.28530558535067,12.8615599392541,48.9454696841488,"phylo_q0"
"10","Siganus_rivulatus","Levantine_Sea",38.2266942735421,7.67901946223905,12.9662288745795,55.1094730170693,"phylo_q0"
"11","Siganus_rivulatus","Northern_Crete",43.1256326601201,6.96143592909443,16.6012073212184,54.4827565980225,"phylo_q0"
"12","Siganus_rivulatus","North_Red_Sea",6.46502577153497,2.28849686256698,1.99878147567868,10.4379558176811,"phylo_q1"
"13","Siganus_rivulatus","Levantine_Sea",8.60967613586173,1.5209495006632,3.58191871654571,11.3917332566088,"phylo_q1"
"14","Siganus_rivulatus","Northern_Crete",7.19431541199063,1.46697116769282,4.23733716305214,12.0308808804166,"phylo_q1"
"15","Siganus_rivulatus","North_Red_Sea",203.529411764706,65.8544010605019,70,361,"taxo_q0"
"16","Siganus_rivulatus","Levantine_Sea",243.375,63.5112295743932,71,380,"taxo_q0"
"17","Siganus_rivulatus","Northern_Crete",290.470588235294,55.3759344629692,95,393,"taxo_q0"
"18","Siganus_rivulatus","North_Red_Sea",115.184756901749,47.41545374663,26.9509834905259,212.444072725927,"taxo_q1"
"19","Siganus_rivulatus","Levantine_Sea",157.264839932475,43.1082353478521,46.7142265425116,242.901377162068,"taxo_q1"
"20","Siganus_rivulatus","Northern_Crete",172.395365228185,48.10651677977,39.5807879969873,285.413751375341,"taxo_q1"
